"page","results__adult","results__backdrop_path","results__genre_ids__001","results__genre_ids__002","results__genre_ids__003","results__genre_ids__004","results__genre_ids__005","results__id","results__original_language","results__original_title","results__overview","results__popularity","results__poster_path","results__release_date","results__title","results__video","results__vote_average","results__vote_count","total_pages","total_results"
"1","False","/yDHYTfA3R0jFYba16jBB1ef8oIt.jpg","28","35","878","","","533535","en","Deadpool & Wolverine","A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.","3600.242","/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg","2024-07-24","Deadpool & Wolverine","False","7.728","4206","46449","928972"
"","False","/xi1VSt3DtkevUmzCx2mNlCoDe74.jpg","35","14","27","","","917496","en","Beetlejuice Beetlejuice","After a family tragedy, three generations of the Deetz family return home to Winter River. Still haunted by Betelgeuse, Lydia's life is turned upside down when her teenage daughter, Astrid, accidentally opens the portal to the Afterlife.","1703.146","/kKgQzkUCnQmeTPkyIwHly2t6ZFI.jpg","2024-09-04","Beetlejuice Beetlejuice","False","7.2","962","",""
"","False","/7h6TqPB3ESmjuVbxCxAeB1c9OB1.jpg","27","18","878","","","933260","en","The Substance","A fading celebrity decides to use a black market drug, a cell-replicating substance that temporarily creates a younger, better version of herself.","1633.898","/lqoMzCcZYEFK729d6qzt349fB4o.jpg","2024-09-07","The Substance","False","7.3","256","",""
"","False","/lgkPzcOSnTvjeMnuFzozRO5HHw1.jpg","16","10751","35","28","","519182","en","Despicable Me 4","Gru and Lucy and their girls—Margo, Edith and Agnes—welcome a new member to the Gru family, Gru Jr., who is intent on tormenting his dad. Gru also faces a new nemesis in Maxime Le Mal and his femme fatale girlfriend Valentina, forcing the family to go on the run.","1647.609","/wWba3TaojhK7NdycRhoQpsG0FaH.jpg","2024-06-20","Despicable Me 4","False","7.1","1919","",""
"","False","/hPIWQT70wQK6akqfLXByEvr62u0.jpg","28","53","27","878","","726139","ko","탈출: 프로젝트 사일런스","Due to sudden deteriorating weather conditions, visibility on the Airport Bridge is severely impaired, leaving people stranded and at risk of the bridge collapsing due to a series of chain collisions and explosions. Amidst the chaos, the canine subjects ""Echo"" from the military experiment ""Project Silence,"" who were being transported in secret, break free, and all human survivors become targets of relentless attacks.","1490.454","/fttoFfKikQMwIoV3UVvlCvBhbUw.jpg","2024-07-11","Project Silence","False","7.0","130","",""
"","False","/tCKWksaQI8XkAQLVou0AlGab5S6.jpg","28","878","","","","1144962","en","Transmorphers: Mech Beasts","20 years after the events of Transmorphers, a newer, more advanced species of alien robot descends on a rebuilt Earth, threatening once again to destroy the planet.","1430.472","/oqhaffnQqSzdLrYAQA5W4IdAoCX.jpg","2023-06-09","Transmorphers: Mech Beasts","False","4.412","17","",""
"","False","/p5ozvmdgsmbWe0H8Xk7Rc8SCwAB.jpg","16","10751","12","35","18","1022789","en","Inside Out 2","Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.","1258.608","/vpnVM9B6NMmQpWeZvzLvDESb2QY.jpg","2024-06-11","Inside Out 2","False","7.629","4225","",""
"","False","/4zlOPT9CrtIX05bBIkYxNZsm5zN.jpg","16","878","10751","","","1184918","en","The Wild Robot","After a shipwreck, an intelligent robot called Roz is stranded on an uninhabited island. To survive the harsh environment, Roz bonds with the island's animals and cares for an orphaned baby goose.","1238.238","/wTnV3PCVW5O92JMrFvvrRcV39RU.jpg","2024-09-12","The Wild Robot","False","7.963","136","",""
"","False","/Asg2UUwipAdE87MxtJy7SQo08XI.jpg","28","14","27","53","80","957452","en","The Crow","Soulmates Eric and Shelly are brutally murdered when the demons of her dark past catch up with them. Given the chance to save his true love by sacrificing himself, Eric sets out to seek merciless revenge on their killers, traversing the worlds of the living and the dead to put the wrong things right.","1158.108","/58QT4cPJ2u2TqWZkterDq9q4yxQ.jpg","2024-08-21","The Crow","False","5.6","534","",""
"","False","/9R9Za5kybgl5AhuCNoK3gngaBdG.jpg","27","53","","","","1114513","en","Speak No Evil","When an American family is invited to spend the weekend at the idyllic country estate of a charming British family they befriended on vacation, what begins as a dream holiday soon warps into a snarled psychological nightmare.","1139.837","/fDtkrO2OAF8LKQTdzYmu1Y7lCLB.jpg","2024-09-11","Speak No Evil","False","7.326","574","",""
"","False","/reNf6GBzOe48l9WEnFOxXgW56Vg.jpg","18","80","53","","","889737","en","Joker: Folie à Deux","While struggling with his dual identity, Arthur Fleck not only stumbles upon true love, but also finds the music that's always been inside him.","1029.507","/if8QiqCI7WAGImKcJCfzp6VTyKA.jpg","2024-10-01","Joker: Folie à Deux","False","5.8","589","",""
"","False","/uXDwP5qPhuRyPpQ7WkLbE6t2z5W.jpg","35","53","28","","","877817","en","Wolfs","Hired to cover up a high-profile crime, a fixer soon finds his night spiralling out of control when he's forced to work with an unexpected counterpart.","903.208","/vOX1Zng472PC2KnS0B9nRfM8aaZ.jpg","2024-09-20","Wolfs","False","6.614","414","",""
"","False","/igtm12Wy9EUlxFeyb4v8bRyuYSY.jpg","28","80","18","53","","1337309","th","Bangkok Breaking: ฝ่านรกเมืองเทวดา","When a dedicated rescue worker inadvertently gets caught up in the kidnapping plot of a mogul's tween daughter, he must save her from the clutches of rival gangs hunting them down with unpredictable dangers around every corner.","985.912","/6VeDn4oIeUK4XwjWGWMb6qvMImQ.jpg","2024-09-26","Bangkok Breaking: Heaven and Hell","False","6.5","21","",""
"","False","/3m0j3hCS8kMAaP9El6Vy5Lqnyft.jpg","878","53","18","27","","1125510","es","El hoyo 2","After a mysterious leader imposes his law in a brutal system of vertical cells, a new arrival battles against a dubious food distribution method.","1309.291","/izuzUb0sDokqp9o8utVfsrSJuy5.jpg","2024-09-27","The Platform 2","False","5.7","377","",""
"","False","/gHpTqPqSIC0jZ4J4QyXlVJ0yBcW.jpg","28","80","53","","","1215162","en","Kill 'em All 2","Phillip and Suzanne are retired from the spy game, living peacefully off the grid. That's until their whereabouts are discovered by Vlad, the vengeful brother of their target from the first film.","847.745","/hgA5hN3NjNNSTXYOmAI6KNKOzbp.jpg","2024-09-24","Kill 'em All 2","False","6.95","80","",""
"","False","/9msuazXGWAyl7vhxVFU7e7Bb5Ik.jpg","18","10749","","","","179387","tl","Heavenly Touch","Jonard is having trouble making ends meet. His mother is suffering from depression, and he and his sister are forced to quit school in order to take care of her. One day, Jonard meets up his friend Rodel, and Rodel introduces him to the world of massage parlors. Rodel teaches him massage, and brings him to Heavenly Touch, a syndicate-run massage parlor that mostly caters to homosexuals.","730.984","/ory8WuAqznTE7lfopTSymHpop2t.jpg","2009-05-12","Heavenly Touch","False","6.0","19","",""
"","False","/tncbMvfV0V07UZozXdBEq4Wu9HH.jpg","28","80","53","35","","573435","en","Bad Boys: Ride or Die","After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.","750.931","/oGythE98MYleE6mZlGs5oBGkux1.jpg","2024-06-05","Bad Boys: Ride or Die","False","7.527","2141","",""
"","False","/zAqBIeO71BFL7bAtP5TFzVjVamy.jpg","10749","18","","","","1079091","en","It Ends with Us","When a woman's first love suddenly reenters her life, her relationship with a charming, but abusive neurosurgeon is upended, and she realizes she must learn to rely on her own strength to make an impossible choice for her future.","724.734","/cSMdFWmajaX4oUMLx7HEDI84GkP.jpg","2024-08-07","It Ends with Us","False","7.1","723","",""
"","False","/xlkclSE4aq7r3JsFIJRgs21zUew.jpg","27","53","","","","1034541","en","Terrifier 3","Five years after surviving Art the Clown's Halloween massacre, Sienna and her brother are still struggling to rebuild their shattered lives. As the holiday season approaches, they try to embrace the Christmas spirit and leave the horrors of the past behind. But just when they think they're safe, Art returns, determined to turn their holiday cheer into a new nightmare. The festive season quickly unravels as Art unleashes his twisted brand of terror, proving that no holiday is safe.","723.212","/7NDHoebflLwL1CcgLJ9wZbbDrmV.jpg","2024-10-09","Terrifier 3","False","6.563","8","",""
"","False","/gZWl93sf8AxavYpVT1Un6EF3oCj.jpg","80","53","18","","","475557","en","Joker","During the 1980s, a failed stand-up comedian is driven insane and turns to a life of crime and chaos in Gotham City while becoming an infamous psychopathic crime figure.","662.813","/udDclJoHjfjb8Ekgsd4FDteOkCU.jpg","2019-10-01","Joker","False","8.152","25368","",""
